"id","description","latitude","longitude"
886,"Maják: 22m spansetů. Seknout spansety do zářezu pod vrcholovkou a vyvézt napravo (z pohledu na Zelenáče) kolem volného bloku a dále do zářezu na vrcholovém talíři. Nalevo od knížky vyvézt podél hrany a přes ni nahoru. !Neprotahovat železnou konstrukcí na vlajku! Spansety se setkají na vrcholovém talíři a dále vyvážeme tak, aby šla lajna úplně z pravého rohu věže (zářez). Backup za slaňák na rohu.
",50.556104,15.176707
838,"Na jedné straně je kotvená za stejný blok jako HippiePunk a taky zeshora, kde je potřeba cca 7-8m spansetů. Dost záleží jaký způsob se zvolí, lze například použít stahovák okolo celého šutru a provléct spodem). Pozor zadní blok je pravděpodobně jen opřen o ten přední, tak to při kotvení respektovat!",50.799469,14.055517
726,,50.087204,14.370788
973,"Východní kotvení je na srázu u cedule se zákazem vstupu (v místech kde je pěšina nejblíže srázu). Zde několik vzrostlejších keříků. Většina však suchá. My jsme vyvázali dva a spanety na kraji vyvedli přes větev stromu na hraně tak aby se kotvení lehce zvedlo. Cca 8m spansetu
Backup přes cestu (min 10m). Pozor po cestě jezdí lesák a motorkáři (docela často), tak ji asi nezahrazovat...",49.902078,14.092333
1027,"",50.157349,14.086419
1028,"",50.15723,14.087599
1029,,50.155385,14.088046
1048,Za dva stromky a na hraně zvednout přes A-frame (11m spansetu). Backup za jeden ze stromků. Je možné kotvit za silnější strom dál od kraje (cca 15m).,50.185375,14.085093
1049,"Za silnější stromek a vést po zemi až na hranu (24m spansetu). Backup za menší křovíčko ve směru kotvení. Na hraně dobře zabandážovat a dát pozor, meteriál se dost drolí.",50.185101,14.086297
1050,,50.187484,14.08742
1060,,49.7863697,15.8380922
1061,,49.7868626,15.8385722
1062,,49.7874142,15.8440092
687,,49.581966,18.011194
